person_id,name,voted_project_first_choice,voted_project_second_choice,person_seniority,include
0,Houcem,0,1,1,1
1,Bob,1,2,1,1
2,Charlie,2,3,1,1
3,David,3,4,1,1
4,Eve,4,0,1,1
5,Frank,0,1,1,1
6,Grace,1,2,1,1
7,Henry,2,3,1,1
8,Ivy,3,4,2,1
9,Jack,4,0,2,1
10,Kate,0,1,10,1
11,Liam,1,2,10,1
12,Mia,2,3,5,1
13,Noah,3,4,5,1
14,Olivia,4,0,3,1
15,Peter,0,1,3,1
16,Quinn,1,2,3,1
17,Rachel,2,3,2,1
18,Sam,3,4,2,1
19,Tina,4,0,1,1
20,Oliver,4,6,4,1
21,Thomas,4,6,3,1
22,Alex,16,19,10,1
23,Michael,16,16,2,1
24,Sarah,16,15,5,1
25,Daniel,18,16,2,1
26,Emma,18,16,10,1
27,James,18,16,2,1
28,Sophia,18,16,5,1
29,William,18,16,2,1
30,Chloe,18,16,5,1
31,Benjamin,22,9,10,1
32,Lucas,22,8,1,1
33,Amelia,22,9,2,1
34,Ethan,22,8,5,1
35,Lily,22,9,5,1
36,Adam,8,7,1,1
37,Hannah,8,7,10,1
38,Ryan,8,7,2,1
39,Zoe,8,7,10,1
40,Nathan,8,7,5,1
41,Julia,8,7,1,1
42,Adam,8,7,5,1
