person_id,name,voted_project_first_choice,voted_project_second_choice,person_seniority,include,allocated_to_project_id,is_allocated_project_in_choices,got_his_her_first_choice,got_his_her_second_choice
0,Houcem,0,1,1,1,,False,False,False
1,Bob,1,2,1,1,1.0,True,True,False
2,Charlie,2,3,1,1,,False,False,False
3,David,3,4,1,1,,False,False,False
4,Eve,4,0,1,1,,False,False,False
5,Frank,0,1,1,1,,False,False,False
6,Grace,1,2,1,1,1.0,True,True,False
7,Henry,2,3,1,1,,False,False,False
8,Ivy,3,4,2,1,18.0,False,False,False
9,Jack,4,0,2,1,,False,False,False
10,Kate,0,1,10,1,0.0,True,True,False
11,Liam,1,2,10,1,1.0,True,True,False
12,Mia,2,3,5,1,18.0,False,False,False
13,Noah,3,4,5,1,18.0,False,False,False
14,Olivia,4,0,3,1,18.0,False,False,False
15,Peter,0,1,3,1,0.0,True,True,False
16,Quinn,1,2,3,1,1.0,True,True,False
17,Rachel,2,3,2,1,,False,False,False
18,Sam,3,4,2,1,,False,False,False
19,Tina,4,0,1,1,,False,False,False
20,Oliver,4,6,4,1,18.0,False,False,False
21,Thomas,4,6,3,1,18.0,False,False,False
22,Alex,16,19,10,1,16.0,True,True,False
23,Michael,16,16,2,1,16.0,True,True,True
24,Sarah,16,15,5,1,16.0,True,True,False
25,Daniel,18,16,2,1,16.0,True,False,True
26,Emma,18,16,10,1,18.0,True,True,False
27,James,18,16,2,1,16.0,True,False,True
28,Sophia,18,16,5,1,16.0,True,False,True
29,William,18,16,2,1,16.0,True,False,True
30,Chloe,18,16,5,1,16.0,True,False,True
31,Benjamin,22,9,10,1,18.0,False,False,False
32,Lucas,22,8,1,1,,False,False,False
33,Amelia,22,9,2,1,,False,False,False
34,Ethan,22,8,5,1,18.0,False,False,False
35,Lily,22,9,5,1,18.0,False,False,False
36,Adam,8,7,1,1,,False,False,False
37,Hannah,8,7,10,1,7.0,True,False,True
38,Ryan,8,7,2,1,,False,False,False
39,Zoe,8,7,10,1,7.0,True,False,True
40,Nathan,8,7,5,1,7.0,True,False,True
41,Julia,8,7,1,1,,False,False,False
42,Adam,8,7,5,1,7.0,True,False,True
